Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
FPT,HOSE,02/01/2019,,18036,18187,17756,17777,459120,19134190000
FPT,HOSE,03/01/2019,,17885,17885,17562,17605,716600,29341150000
FPT,HOSE,04/01/2019,,17518,17885,17475,17734,318570,13020330000
FPT,HOSE,07/01/2019,,18036,18166,17950,18036,408470,17113000000
FPT,HOSE,08/01/2019,,18036,18122,17993,18122,295660,12374460000
FPT,HOSE,09/01/2019,,18166,18381,18079,18295,309040,13070920000
FPT,HOSE,10/01/2019,,18295,18360,18187,18187,207330,8778410000
FPT,HOSE,11/01/2019,,18295,18360,18144,18209,596090,25257310000
FPT,HOSE,14/01/2019,,18252,18381,18122,18338,398400,16885000000
FPT,HOSE,15/01/2019,,18252,18468,18252,18468,339480,14494750000
FPT,HOSE,16/01/2019,,18554,18554,18360,18360,186590,7974000000
FPT,HOSE,17/01/2019,,18338,18446,18122,18122,379770,16103000000
FPT,HOSE,18/01/2019,,18166,18338,18122,18122,227150,9565360000
FPT,HOSE,21/01/2019,,18209,18468,18209,18338,247800,10525200000
FPT,HOSE,22/01/2019,,18338,18446,18273,18273,141480,6016050000
FPT,HOSE,23/01/2019,,18252,18295,18187,18273,193460,8180090000
FPT,HOSE,24/01/2019,,18295,18381,18273,18317,234470,9959930000
FPT,HOSE,25/01/2019,,18295,18381,18252,18295,213470,9066610000
FPT,HOSE,28/01/2019,,18338,18338,18166,18166,216330,9146390000
FPT,HOSE,29/01/2019,,18295,18338,18122,18338,430580,18187630000
FPT,HOSE,30/01/2019,,18338,18727,18295,18640,689260,29630610000
FPT,HOSE,31/01/2019,,18683,18727,18511,18640,517260,22290230000
FPT,HOSE,01/02/2019,,18640,18640,17907,18381,599890,25595960000
FPT,HOSE,11/02/2019,,18554,19115,18424,19050,1000430,43835100000
FPT,HOSE,12/02/2019,,18985,19244,18942,18942,701570,30996630000
FPT,HOSE,13/02/2019,,18985,19417,18985,19223,1125370,50138490000
FPT,HOSE,14/02/2019,,19266,19374,19093,19093,616980,27477950000
FPT,HOSE,15/02/2019,,19093,19180,18985,19072,647230,28633020000
FPT,HOSE,18/02/2019,,19201,19244,19029,19158,306310,13594430000
FPT,HOSE,19/02/2019,,19287,19482,19115,19158,1470880,65752700000
FPT,HOSE,20/02/2019,,19115,19438,19115,19352,499430,22335450000
FPT,HOSE,21/02/2019,,19287,19374,19115,19331,749950,33508090000
FPT,HOSE,22/02/2019,,19331,19590,19158,19503,1243720,55938860000
FPT,HOSE,25/02/2019,,19654,19935,19611,19633,1023660,46829100000
FPT,HOSE,26/02/2019,,19676,19676,19417,19503,663220,30037000000
FPT,HOSE,27/02/2019,,19503,19611,19374,19460,485650,21963300000
FPT,HOSE,28/02/2019,,19460,19460,19072,19072,1372190,61119690000
FPT,HOSE,01/03/2019,,19223,19244,19050,19244,590780,26223700000
FPT,HOSE,04/03/2019,,19244,19503,19244,19417,806770,36304820000
FPT,HOSE,05/03/2019,,19417,19503,19331,19374,824300,37093650000
FPT,HOSE,06/03/2019,,19395,19460,19180,19244,695230,31077660000
FPT,HOSE,07/03/2019,,19244,19417,19244,19309,374340,16758320000
FPT,HOSE,08/03/2019,,19287,19331,19180,19266,693180,30925140000
FPT,HOSE,11/03/2019,,19266,19352,19180,19201,364520,16267500000
FPT,HOSE,12/03/2019,,19309,20064,19309,20064,1930870,87513110000
FPT,HOSE,13/03/2019,,20064,20150,19935,19935,1001890,46498510000
FPT,HOSE,14/03/2019,,19935,20064,19848,19999,510200,24646520000
FPT,HOSE,15/03/2019,,19956,19978,19741,19848,1041840,47859940000
FPT,HOSE,18/03/2019,,19978,20043,19827,19935,994080,45793070000
FPT,HOSE,19/03/2019,,19935,19978,19719,19719,914720,42026950000
FPT,HOSE,20/03/2019,,19676,19805,19525,19611,797270,36273990000
FPT,HOSE,21/03/2019,,19762,19762,19460,19460,825740,37423130000
FPT,HOSE,22/03/2019,,19460,19590,19438,19438,687690,31019290000
FPT,HOSE,25/03/2019,,19072,19417,19072,19158,633520,28205640000
FPT,HOSE,26/03/2019,,19417,19417,19201,19309,386120,17261000000
FPT,HOSE,27/03/2019,,19331,19460,19331,19417,589040,26496000000
FPT,HOSE,28/03/2019,,19309,19568,19309,19482,362360,16353000000
FPT,HOSE,29/03/2019,,19676,19676,19546,19633,446750,20316000000
FPT,HOSE,01/04/2019,,19805,19805,19633,19762,327500,14974260000
FPT,HOSE,02/04/2019,,19762,20150,19762,19848,1354480,62746960000
FPT,HOSE,03/04/2019,,20021,20366,19848,20366,1034100,48281360000
FPT,HOSE,04/04/2019,,20496,20798,20388,20625,1716130,81841160000
FPT,HOSE,05/04/2019,,20625,20668,20474,20625,615200,29339910000
FPT,HOSE,08/04/2019,,20560,20711,20474,20625,452660,21559970000
FPT,HOSE,09/04/2019,,20625,20927,20409,20409,1011680,48472490000
FPT,HOSE,10/04/2019,,20280,20409,20172,20237,731100,34348250000
FPT,HOSE,11/04/2019,,20237,20496,20215,20280,359910,16964980000
FPT,HOSE,12/04/2019,,20215,20884,20215,20798,875090,41865120000
FPT,HOSE,16/04/2019,,20496,20798,20496,20668,907000,43484840000
FPT,HOSE,17/04/2019,,20841,21359,20798,20927,1959530,95572350000
FPT,HOSE,18/04/2019,,20927,21251,20733,20927,975930,47390190000
FPT,HOSE,19/04/2019,,21013,21100,20884,20906,453980,22029700000
FPT,HOSE,22/04/2019,,20927,20927,20625,20668,826090,39657130000
FPT,HOSE,23/04/2019,,20668,20906,20496,20668,549400,26227530000
FPT,HOSE,24/04/2019,,20927,20992,20755,20949,855130,41396350000
FPT,HOSE,25/04/2019,,20927,21208,20906,21057,970660,47515.12
FPT,HOSE,26/04/2019,,21100,21466,21057,21380,864950,42725510000
FPT,HOSE,02/05/2019,,21488,21661,21423,21510,885020,44185120000
FPT,HOSE,03/05/2019,,21531,21574,21402,21574,1059570,52834120000
FPT,HOSE,06/05/2019,,21143,21315,20906,21035,1455140,71142090000
FPT,HOSE,07/05/2019,,21186,21445,21164,21445,1094880,54029040000
FPT,HOSE,08/05/2019,,21272,21445,21143,21423,959020,47427040000
FPT,HOSE,09/05/2019,,21402,21423,20970,20970,860940,42256300000
FPT,HOSE,10/05/2019,,21143,21251,21035,21143,1027830,50360830000
FPT,HOSE,13/05/2019,,21143,21488,21143,21359,850540,42106100000
FPT,HOSE,14/05/2019,,21315,21920,21186,21661,1560830,77885540000
FPT,HOSE,15/05/2019,,21790,21833,21617,21747,1539940,77550640000
FPT,HOSE,16/05/2019,,21747,21876,21423,21423,1891290,94908970000
FPT,HOSE,17/05/2019,,21797,21797,21458,21531,1487590,66268000000
FPT,HOSE,20/05/2019,,21555,21942,21555,21918,1792130,80602710000
FPT,HOSE,21/05/2019,,22039,22306,21967,22233,1016530,46566130000
FPT,HOSE,22/05/2019,,22257,22354,21918,21918,1563650,71540440000
FPT,HOSE,23/05/2019,,21918,22185,21894,22136,1267520,57657000000
FPT,HOSE,24/05/2019,,22039,22257,21918,22088,1014750,46303290000
FPT,HOSE,27/05/2019,,21942,22015,21628,21918,1261950,56729090000
FPT,HOSE,28/05/2019,,21797,21991,21676,21724,518470,23315560000
FPT,HOSE,29/05/2019,,21724,21724,21313,21361,1505300,66714930000
FPT,HOSE,30/05/2019,,21361,21652,21264,21579,986450,43599430000
FPT,HOSE,31/05/2019,,21603,21700,21361,21361,611860,27209700000
FPT,HOSE,03/06/2019,,21313,21361,21071,21071,881810,38640690000
FPT,HOSE,04/06/2019,,21071,21167,20949,20974,537160,23316950000
FPT,HOSE,05/06/2019,,21071,21264,21071,21119,500100,21851540000
FPT,HOSE,06/06/2019,,21216,21652,21119,21555,922740,40901230000
FPT,HOSE,07/06/2019,,21700,21918,21652,21894,1304680,58754600000
FPT,HOSE,10/06/2019,,22039,22136,21700,21846,1227340,55596620000
FPT,HOSE,11/06/2019,,21846,22088,21749,21894,1296500,58697190000
FPT,HOSE,12/06/2019,,21894,22088,21797,21821,1284520,58189730000
FPT,HOSE,13/06/2019,,21821,21846,21555,21579,856270,38385620000
FPT,HOSE,14/06/2019,,21603,21749,21507,21507,559800,24994230000
FPT,HOSE,17/06/2019,,21361,21555,21264,21337,1013550,44717380000
FPT,HOSE,18/06/2019,,21482,21531,21192,21337,763680,33597970000
FPT,HOSE,19/06/2019,,21458,21652,21410,21628,530820,23594840000
FPT,HOSE,20/06/2019,,21458,21652,21410,21628,530820,23594840000
