Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
MWG,HOSE,02/01/2019,,27583,27583,27107,27107,351730,30319520000
MWG,HOSE,03/01/2019,,27107,27170,26314,26314,703060,59207930000
MWG,HOSE,04/01/2019,,26314,26536,25997,26505,432170,35750420000
MWG,HOSE,07/01/2019,,26631,27107,26568,26948,398000,33784920000
MWG,HOSE,08/01/2019,,26948,26948,26631,26631,172180,14519890000
MWG,HOSE,09/01/2019,,26631,27170,26631,27075,440950,37567860000
MWG,HOSE,10/01/2019,,27075,27266,26853,27266,285290,24338340000
MWG,HOSE,11/01/2019,,27266,27266,26948,26948,360780,30753380000
MWG,HOSE,14/01/2019,,26948,26948,26631,26948,454580,38535000000
MWG,HOSE,15/01/2019,,26948,27170,26727,27170,871010,74450200000
MWG,HOSE,16/01/2019,,27107,27519,27044,27044,1761330,151305000000
MWG,HOSE,17/01/2019,,27266,27266,27012,27044,457130,39074000000
MWG,HOSE,18/01/2019,,27012,27107,26758,26758,195210,16585410000
MWG,HOSE,21/01/2019,,26758,26822,26473,26536,440920,36984020000
MWG,HOSE,22/01/2019,,26568,26790,26536,26568,141590,11884500000
MWG,HOSE,23/01/2019,,26568,26631,26473,26505,176570,14761480000
MWG,HOSE,24/01/2019,,26505,26600,26410,26505,147770,12344570000
MWG,HOSE,25/01/2019,,26505,26600,26378,26378,223510,18656890000
MWG,HOSE,28/01/2019,,26378,26695,26378,26505,270250,22602600000
MWG,HOSE,29/01/2019,,26505,27107,26283,27107,461840,38936190000
MWG,HOSE,30/01/2019,,26790,26885,26505,26505,263110,22117360000
MWG,HOSE,31/01/2019,,26631,26790,26314,26314,206030,17215720000
MWG,HOSE,01/02/2019,,26536,26695,26283,26314,420360,34979290000
MWG,HOSE,11/02/2019,,26473,26822,26473,26822,355460,29954000000
MWG,HOSE,12/02/2019,,26822,27044,26822,26822,343450,29162640000
MWG,HOSE,13/02/2019,,26822,27329,26822,27329,1212540,104121310000
MWG,HOSE,14/02/2019,,27329,27392,27107,27170,668840,57494640000
MWG,HOSE,15/02/2019,,27170,27361,27044,27297,717740,61770370000
MWG,HOSE,18/02/2019,,27424,27456,27234,27297,455150,39223920000
MWG,HOSE,19/02/2019,,27297,27804,27297,27583,1911250,166553050000
MWG,HOSE,20/02/2019,,27583,27773,27551,27614,592890,51784490000
MWG,HOSE,21/02/2019,,27614,27868,27614,27868,781820,68503520000
MWG,HOSE,22/02/2019,,27804,28439,27614,28217,1190030,105299800000
MWG,HOSE,25/02/2019,,28534,28914,28375,28407,1273860,114916570000
MWG,HOSE,26/02/2019,,28470,28470,27963,28058,797730,71041480000
MWG,HOSE,27/02/2019,,28185,28343,27836,27963,575710,50974490000
MWG,HOSE,28/02/2019,,27963,28122,27519,27519,1160450,101760640000
MWG,HOSE,01/03/2019,,27773,27868,27583,27741,431190,37774640000
MWG,HOSE,04/03/2019,,28058,28343,27678,28217,769420,68398130000
MWG,HOSE,05/03/2019,,28217,28534,27836,27836,706580,62764310000
MWG,HOSE,06/03/2019,,27900,27995,27678,27931,536430,47116420000
MWG,HOSE,07/03/2019,,28058,28058,27773,27804,458460,40342120000
MWG,HOSE,08/03/2019,,27583,27709,27392,27456,830580,72126360000
MWG,HOSE,11/03/2019,,27678,27868,27551,27709,358070,31320610000
MWG,HOSE,12/03/2019,,27900,28058,27836,28058,667370,58775830000
MWG,HOSE,13/03/2019,,28058,28534,28058,28343,1079120,96304070000
MWG,HOSE,14/03/2019,,28375,28375,28058,28090,479400,47188490000
MWG,HOSE,15/03/2019,,28217,28312,27995,28090,456820,40607730000
MWG,HOSE,18/03/2019,,28090,28312,28058,28280,722860,64265960000
MWG,HOSE,19/03/2019,,28312,28851,28185,28248,1161490,104658660000
MWG,HOSE,20/03/2019,,28058,28312,27900,28058,431600,38180850000
MWG,HOSE,21/03/2019,,28058,28248,27868,27868,706020,62388050000
MWG,HOSE,22/03/2019,,27868,27931,27583,27646,671770,58792550000
MWG,HOSE,25/03/2019,,27424,27424,26568,26568,1163400,98431970000
MWG,HOSE,26/03/2019,,26948,27012,26600,26663,588520,49583000000
MWG,HOSE,27/03/2019,,26790,26917,26758,26758,207810,17570000000
MWG,HOSE,28/03/2019,,26790,26853,26663,26758,352840,29789000000
MWG,HOSE,29/03/2019,,26822,27012,26790,26885,285550,24230000000
MWG,HOSE,01/04/2019,,26885,26980,26631,26663,484640,40949670000
MWG,HOSE,02/04/2019,,26917,26980,26663,26663,287660,24329340000
MWG,HOSE,03/04/2019,,26790,26790,26536,26568,235540,19770730000
MWG,HOSE,04/04/2019,,26568,26727,26441,26473,317500,26560960000
MWG,HOSE,05/04/2019,,26188,26727,26188,26663,354560,29640050000
MWG,HOSE,08/04/2019,,26790,26790,26473,26631,186580,15645010000
MWG,HOSE,09/04/2019,,26631,26663,26378,26536,275970,23071620000
MWG,HOSE,10/04/2019,,26441,26505,26061,26251,401860,33260950000
MWG,HOSE,11/04/2019,,26156,26346,26061,26156,222580,18380430000
MWG,HOSE,12/04/2019,,26156,26251,25966,26156,349720,28771990000
