Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
PLX,HOSE,02/01/2019,,42960,44153,42960,43278,380020,20823850000
PLX,HOSE,03/01/2019,,43278,43755,41766,42641,450490,24196570000
PLX,HOSE,04/01/2019,,42164,43914,42164,43676,302070,16348850000
PLX,HOSE,07/01/2019,,44153,44312,43835,43914,187920,10408480000
PLX,HOSE,08/01/2019,,44153,44153,42403,43039,352050,19011420000
PLX,HOSE,09/01/2019,,43676,43914,42960,43119,343920,18740860000
PLX,HOSE,10/01/2019,,43596,43994,43278,43835,280830,15430370000
PLX,HOSE,11/01/2019,,44073,44551,43755,43994,337760,18747810000
PLX,HOSE,14/01/2019,,43994,44153,43039,43676,125040,6854000000
PLX,HOSE,15/01/2019,,43676,44392,43437,43994,230330,12731730000
PLX,HOSE,16/01/2019,,44551,44789,44073,44153,252480,14097000000
PLX,HOSE,17/01/2019,,44153,44312,43516,43516,197100,10873000000
PLX,HOSE,18/01/2019,,43516,43914,43278,43278,188280,10289500000
PLX,HOSE,21/01/2019,,43755,44471,43198,43994,273200,15071300000
PLX,HOSE,22/01/2019,,43755,43755,42482,42562,729490,39402810000
PLX,HOSE,23/01/2019,,42164,42880,42164,42323,486420,25891910000
PLX,HOSE,24/01/2019,,42323,42800,42244,42323,653530,34812640000
PLX,HOSE,25/01/2019,,42323,42880,42323,42800,169160,9082760000
PLX,HOSE,28/01/2019,,42960,43119,42482,42562,516670,27759780000
PLX,HOSE,29/01/2019,,42482,42641,42244,42562,311730,16630140000
PLX,HOSE,30/01/2019,,42562,42721,42403,42403,452470,24186030000
PLX,HOSE,31/01/2019,,42960,43437,42403,42880,911200,49136020000
PLX,HOSE,01/02/2019,,42641,43119,42562,42562,1199400,64303830000
PLX,HOSE,11/02/2019,,43357,44232,43119,44232,746520,41102190000
PLX,HOSE,12/02/2019,,44551,44789,44073,44312,957300,53546510000
PLX,HOSE,13/02/2019,,44312,45585,44312,45426,1941970,109882920000
PLX,HOSE,14/02/2019,,45346,45664,45028,45108,1004440,57180670000
PLX,HOSE,15/02/2019,,45108,45824,44948,45108,1351010,77212140000
PLX,HOSE,18/02/2019,,45346,46937,45346,46937,2268090,131152010000
PLX,HOSE,19/02/2019,,46778,46937,45744,45903,1293550,75613690000
PLX,HOSE,20/02/2019,,45903,45903,45028,45187,927820,53043610000
PLX,HOSE,21/02/2019,,45267,46460,45267,46380,1723040,99673290000
PLX,HOSE,22/02/2019,,45983,46937,45983,46540,1129680,66025010000
PLX,HOSE,25/02/2019,,46937,47256,46619,46619,1366700,80596870000
PLX,HOSE,26/02/2019,,46460,46540,45346,45346,1456500,83837310000
PLX,HOSE,27/02/2019,,45744,45824,44869,45108,1784860,101309420000
PLX,HOSE,28/02/2019,,45346,45744,44789,44948,2532900,143917340000
PLX,HOSE,01/03/2019,,44948,46699,44948,46619,2076360,118802600000
