Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
SSI,HOSE,02/01/2019,,12102,12193,11898,12011,1216350,32345680000
SSI,HOSE,03/01/2019,,12011,12011,11671,11785,1672220,43538670000
SSI,HOSE,04/01/2019,,11785,11875,11535,11785,1232910,31887200000
SSI,HOSE,07/01/2019,,12147,12147,11807,11807,735500,19364440000
SSI,HOSE,08/01/2019,,11853,11853,11626,11649,1306960,33737860000
SSI,HOSE,09/01/2019,,11785,11830,11649,11671,1650530,42714610000
SSI,HOSE,10/01/2019,,11649,11762,11581,11581,1212750,31227050000
SSI,HOSE,11/01/2019,,11649,11921,11649,11853,1820470,47505150000
SSI,HOSE,14/01/2019,,11875,11875,11694,11694,776770,20177000000
SSI,HOSE,15/01/2019,,11694,11807,11671,11785,995860,25803240000
SSI,HOSE,16/01/2019,,11807,11830,11626,11671,1467160,37982000000
SSI,HOSE,17/01/2019,,11671,11694,11399,11422,1852510,47144000000
SSI,HOSE,18/01/2019,,11422,11490,11286,11399,1521200,38280560000
SSI,HOSE,21/01/2019,,11399,11739,11399,11603,1700870,43379120000
SSI,HOSE,22/01/2019,,11603,11739,11581,11581,1156270,29745910000
SSI,HOSE,23/01/2019,,11513,11649,11467,11535,1188790,30328840000
SSI,HOSE,24/01/2019,,11649,11694,11558,11581,1224550,31420760000
SSI,HOSE,25/01/2019,,11581,11921,11581,11875,2422010,62981020000
SSI,HOSE,28/01/2019,,11875,11943,11762,11807,1266510,33137110000
SSI,HOSE,29/01/2019,,11853,11875,11717,11875,1011500,26331200000
SSI,HOSE,30/01/2019,,11875,11875,11785,11785,971710,25319740000
SSI,HOSE,31/01/2019,,11830,12011,11717,11830,1569170,41104910000
SSI,HOSE,01/02/2019,,11739,11875,11739,11830,985310,25724690000
SSI,HOSE,11/02/2019,,11921,12193,11875,12193,1946520,51665520000
SSI,HOSE,12/02/2019,,12193,12465,12147,12306,3517680,95477110000
SSI,HOSE,13/02/2019,,12351,12465,12306,12329,2327970,63550480000
SSI,HOSE,14/02/2019,,12283,12374,12261,12283,1420580,38617110000
SSI,HOSE,15/02/2019,,12238,12306,12125,12170,1828720,49183940000
SSI,HOSE,18/02/2019,,12306,12351,12215,12283,1754600,47493890000
SSI,HOSE,19/02/2019,,12283,12533,12283,12351,3414120,93369580000
SSI,HOSE,20/02/2019,,12351,12510,12351,12465,2300940,63219240000
SSI,HOSE,21/02/2019,,12487,12646,12465,12646,2871900,79735760000
SSI,HOSE,22/02/2019,,12691,12827,12555,12805,3132140,88119250000
SSI,HOSE,25/02/2019,,12918,13054,12895,12963,3266350,93417530000
SSI,HOSE,26/02/2019,,12827,13009,12759,12918,2864370,81359480000
SSI,HOSE,27/02/2019,,12918,12963,12805,12805,1240270,35188990000
SSI,HOSE,28/02/2019,,12782,12918,12578,12646,2286310,64159670000
SSI,HOSE,01/03/2019,,12646,12782,12646,12782,1042520,29249050000
SSI,HOSE,04/03/2019,,12827,13122,12827,13099,2304530,66046470000
SSI,HOSE,05/03/2019,,13054,13190,12918,13054,1955980,56471630000
SSI,HOSE,06/03/2019,,13145,13145,12941,13054,902140,25915060000
SSI,HOSE,07/03/2019,,12941,13167,12941,13031,1901510,54841760000
SSI,HOSE,08/03/2019,,12918,13009,12873,12895,1704440,48685650000
SSI,HOSE,11/03/2019,,12895,12963,12805,12963,1189010,33827520000
SSI,HOSE,12/03/2019,,13099,13099,12873,13054,1009700,28915520000
SSI,HOSE,13/03/2019,,13099,13349,13099,13326,2652480,77441410000
SSI,HOSE,14/03/2019,,13371,13416,13213,13394,1013340,33415800000
SSI,HOSE,15/03/2019,,13371,13371,13213,13371,1536660,45185470000
SSI,HOSE,18/03/2019,,13394,13394,13167,13235,1496440,43840530000
SSI,HOSE,19/03/2019,,13281,13326,13099,13099,1181940,34503130000
SSI,HOSE,20/03/2019,,13099,13099,12805,12941,1405780,40154680000
SSI,HOSE,21/03/2019,,12941,12963,12374,12374,1717850,48275710000
SSI,HOSE,22/03/2019,,12510,12669,12419,12465,1225180,33827600000
SSI,HOSE,25/03/2019,,12147,12283,12057,12147,1384910,37131980000
SSI,HOSE,26/03/2019,,12283,12374,12215,12283,658870,17842000000
SSI,HOSE,27/03/2019,,12465,12465,12261,12283,789100,21494000000
SSI,HOSE,28/03/2019,,12283,12329,12215,12261,627460,17009000000
SSI,HOSE,29/03/2019,,12374,12397,12261,12329,1415600,38479000000
SSI,HOSE,01/04/2019,,12419,12601,12351,12555,1008960,27801670000
SSI,HOSE,02/04/2019,,12691,12714,12419,12555,611580,16948690000
SSI,HOSE,03/04/2019,,12465,12510,12397,12397,504110,13829970000
SSI,HOSE,04/04/2019,,12419,12533,12374,12374,722050,19812600000
SSI,HOSE,05/04/2019,,12374,12487,12374,12465,682690,18737450000
SSI,HOSE,08/04/2019,,12487,12601,12465,12601,1140070,31596250000
SSI,HOSE,09/04/2019,,12646,12714,12601,12691,1916970,53557520000
SSI,HOSE,10/04/2019,,12465,12646,12419,12442,815830,22451550000
SSI,HOSE,11/04/2019,,12465,12510,12351,12351,644980,17643340000
SSI,HOSE,12/04/2019,,12351,12351,12238,12238,821470,22274540000
