Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
VNM,HOSE,02/01/2019,,80796,82459,80464,82459,403570,49601720000
VNM,HOSE,03/01/2019,,82459,82459,80863,81727,449730,55083160000
VNM,HOSE,04/01/2019,,81461,83124,80464,83124,498470,61395880000
VNM,HOSE,07/01/2019,,84919,87114,83456,87114,897430,116281850000
VNM,HOSE,08/01/2019,,87380,87380,85584,86449,448350,58153120000
VNM,HOSE,09/01/2019,,86449,88111,85784,87712,636050,83721540000
VNM,HOSE,10/01/2019,,87712,87779,87047,87579,301700,39688630000
VNM,HOSE,11/01/2019,,87579,89109,87579,89109,954110,127561000000
VNM,HOSE,14/01/2019,,88444,89774,88377,89774,611420,81941000000
VNM,HOSE,15/01/2019,,89774,89907,89109,89707,598510,80743980000
VNM,HOSE,16/01/2019,,89109,89574,87779,88444,562220,75220000000
VNM,HOSE,17/01/2019,,88444,88710,87513,87912,514870,68172000000
VNM,HOSE,18/01/2019,,88444,89707,88444,89109,545600,73215800000
VNM,HOSE,21/01/2019,,89175,89175,87978,88976,279380,37189810000
VNM,HOSE,22/01/2019,,89242,89774,88444,89109,399040,53429620000
VNM,HOSE,23/01/2019,,89707,89774,88976,89441,1028650,138323300000
VNM,HOSE,24/01/2019,,89774,90106,89308,90106,1077600,145618110000
VNM,HOSE,25/01/2019,,90439,90638,90173,90372,813810,110726170000
VNM,HOSE,28/01/2019,,90771,90838,90372,90771,487650,66426560000
VNM,HOSE,29/01/2019,,91104,91104,90106,90771,371010,50490100000
VNM,HOSE,30/01/2019,,90838,90838,90106,90106,279280,37960870000
VNM,HOSE,31/01/2019,,90771,90771,88776,89774,812290,110117270000
VNM,HOSE,01/02/2019,,90306,90306,88444,89774,731430,98300850000
VNM,HOSE,11/02/2019,,89774,91702,89707,91104,1357210,185686680000
VNM,HOSE,12/02/2019,,91769,91902,91104,91769,957440,132036430000
VNM,HOSE,13/02/2019,,91769,92035,90572,91968,764480,105043480000
VNM,HOSE,14/02/2019,,91968,93298,91769,92700,1341090,186847320000
VNM,HOSE,15/02/2019,,93099,93298,92766,93232,910160,127475630000
VNM,HOSE,18/02/2019,,93365,94761,93298,94429,1082650,152980310000
VNM,HOSE,19/02/2019,,95094,95293,94695,94828,1974200,281842750000
VNM,HOSE,20/02/2019,,95094,95426,94961,95094,983460,140764870000
VNM,HOSE,21/02/2019,,95426,99150,95094,98751,1859260,272426870000
VNM,HOSE,22/02/2019,,99084,99416,98618,99017,814320,121359200000
VNM,HOSE,25/02/2019,,99084,101478,98884,100813,1211040,183406750000
VNM,HOSE,26/02/2019,,99749,101079,96424,97155,806810,119857940000
VNM,HOSE,27/02/2019,,97288,99749,97288,98219,484610,71624310000
VNM,HOSE,28/02/2019,,98751,98751,93830,93830,976450,139943270000
VNM,HOSE,01/03/2019,,95692,95692,94030,94030,868720,123315700000
VNM,HOSE,04/03/2019,,94096,95692,94096,95027,876760,124929490000
